一级组织,二级组织,三级组织,30.您认为公司在哪些方面需要改进? （建议列举三项，多多益善～）,分类
ADN,,,- 对于创新项目给予更多的资源支持,
ADN,,,"数据基建拉垮
电脑老旧
严重影响工作效率和心情",
ADN,,,激励制度,
B格猫工作室,RO项目组,策划,福利，薪酬和晋升的规划及透明度,
B格猫工作室,RO项目组,策划,希望可以有比较好的午休环境,
B格猫工作室,RO项目组,策划,1.绩效打分标准更透明化,
B格猫工作室,RO项目组,策划,对老员工的鼓励可以回归一下。虽然不是说老员工就是好的，干了很多年如果有某种成就感的东西会很欣慰，什么五年奖，十年奖之类的。也是一种归属感吧。,
B格猫工作室,RO项目组,策划,食堂越来越不行了 尤其是外卖,
B格猫工作室,RO项目组,策划,"1、食堂可以再多一些健身套餐
2、健身房多排一排空气",
B格猫工作室,RO项目组,策划,"工作时长
学习和发展机会",
B格猫工作室,RO项目组,服务器,办公空气有待加强,
B格猫工作室,RO项目组,服务器,1.对俱乐部活动的支持,
B格猫工作室,RO项目组,客户端,内部confluence技术文档请公开,
B格猫工作室,RO项目组,客户端,更盈利的项目,
B格猫工作室,RO项目组,美术组,"A2老食堂有点难吃了，改成自助餐后，质量肉眼可见的每况愈下。
其他好像想不出啥，感觉都蛮好的，例如冰柜的饮料品类可以多一些？",
B格猫工作室,RO项目组,美术组,项目未来发展的多样性与持续性,
B格猫工作室,RO项目组,美术组,"1 有些部门工作效率和专业能力有提高空间，导致下游环节同学大量反复和浪费时间和不合理计划外的额外工作量出现的现象比较多，有损项目进度和同事之间的和谐
2 希望更多部门之间技术专业交流，目前有挺多，希望更多
3希望更多有奖有罚，这样更激励人，不希望失去工作动力希望",
B格猫工作室,RO项目组,美术组,希望公司能暴富，恢复旅游和水果供应,
B格猫工作室,RO项目组,美术组,"1、软性福利可以再多一点，比如旅游聚餐，节假日礼物
2、公司里绿植可以多一点，这样空气好得多
3、公司每个季度可以发一次绩效奖金，更加提高大家工作的积极性",
B格猫工作室,RO项目组,美术组,吸烟区离电动车停车处太近，每次过来都要吸二手烟,员工福利类
B格猫工作室,RO项目组,其他,"咖啡还能更便宜
为啥逢年过节没啥礼品 
公司同事搞对象的太多了",
Digital & IT,OA Dev,,技能，资源分享学习这块,
Filo,,,更多战略同步，更多跨工作室交流，更多从内部成长和反馈，可以让初始项目获得初期的反馈和种子用户。,
Filo,,,鼓励员工尽量使用 Slack + Email 进行沟通,
